linear,nonlinear
1.4904119666981937e-06,0.0007603013895061028
3.224754977911466e-06,0.0017403208555044486
1.7302546299969428e-06,0.002339982564064986
3.897195029122856e-06,0.002968896430832615
3.8078062348255803e-06,0.003355761399227483
7.725879178693378e-07,0.003716768301676017
3.4245361171016626e-06,0.004271200298235788
1.0425768399360944e-05,0.004757631475410878
6.382529858901952e-06,0.005609100588317356
5.9370897643546536e-06,0.006500697769655448
9.62874206224453e-06,0.006906753044438766
1.1000069092649663e-05,0.007138008268142243
1.2098221534288162e-05,0.00809282573387537
2.493710103109119e-05,0.009641851289319145
3.056610950237745e-05,0.010327630020989315
2.917102843561946e-05,0.011825750167365624
4.8652195514035355e-05,0.014111837265343478
5.328607620961612e-05,0.014841935883483759
5.641864626647685e-05,0.01645743891696654
0.00013410263696466465,0.019995397378242373
0.00013406085211100483,0.02245725306672654
9.028482882517979e-05,0.024042711271489766
0.00016185648283643592,0.02912585994274381
0.0001933970432234984,0.030145960762758047
0.0002209955211589113,0.0328192075885075
0.0002170014431693636,0.03614766271453073
0.0006750260242738721,0.04324919390172759
0.0005394898700177058,0.04800117716818656
0.0002897313065638504,0.050879190211608576
0.0012856373861613742,0.0613786130834454
0.0016792015428023681,0.06949437357044355
0.0005719585555353934,0.07875775837585837
0.0021741341082925705,0.08968480778444937
0.0032587203373036595,0.09887698776641579
0.00163662090714388,0.11122819985387163
0.0029178072453836506,0.12783445977789523
0.004487333791788623,0.1374568625261046
0.0044768075835016075,0.14612144406850858
0.004106233828114206,0.16475273714694594
0.012429236562006661,0.19295662858269716
0.010182007328088244,0.21199699284961507
0.006483388779298325,0.22514027136133452
0.026202906782524224,0.27288315180953043
0.025466881779847073,0.30881574166353154
0.01474628790709141,0.32633319763558644
0.021407083048766068,0.3902510066875058
0.03431329868940596,0.4098681269379735
0.04352421282684718,0.4346628807195538
0.05198197530591723,0.49135575301211293
0.12845954006037227,0.5945668262310787
0.11503690719024007,0.6557628358366958
0.06026252964346931,0.7443477026256871
0.1202935739073717,0.8346277449187447
0.16483113840351596,0.8853739691942802
0.1831418413269381,0.944296485409176
0.1755188610126836,1.045902282330091
0.43029656879580974,1.2443576757732813
0.507126698295211,1.3306329315002872
0.4929827089870697,1.53896879105514
1.1764681059219726,1.8359156078634338
0.9895467260744111,2.0016632163061594
0.3769159592719462,2.2094457341752745
0.8752165148175971,2.4562641577187097
1.8068244084657412,2.677876014811553
1.8344599508977586,2.88599530703464
1.332088455562624,3.1016074246549117
4.928555570502195,3.747430295726571
4.865089786749066,4.210081006133926
2.809213434774644,4.547058756024884
11.724800500504195,5.523008915002413
10.4902970671094,6.183167022132797
3.1370956300129476,6.8776049339981755
5.998223909939059,7.335847029023992
20.586123906372425,8.241170135834015
19.21459087961519,8.872505414498953
8.260064094019764,9.726324409458895
32.8727021303292,11.238727136453656
57.619018034565414,12.584218322209825
33.77237344560948,14.246024692556325
101.60266816681501,17.015777790156772
104.52534910006891,18.85906069546686
51.21623438164849,21.637159576038663
184.67274035650584,24.46906657063032
225.70442249114114,27.273684382888323
109.77385425340503,30.16723740146454
188.57181088263607,35.21587520635984
265.09583326588876,36.883377041263884
293.1875986545812,37.95256911118818
437.42008703116096,44.04307252389802
807.2740817956641,52.29202014182083
773.9446287780254,56.071885324419775
592.8920791656598,63.44436126128764
1125.0161646183615,72.48744048583136
1519.4737240151255,76.97977882923078
1669.7408134102186,88.92871202502388
1173.9407124271165,96.84534052774934
873.7539116637821,102.52988998545085
766.7980036871852,106.59081409185224
906.2335197220591,118.1784957004038
334.20373432911174,131.802954911833
